Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
regidice,diceforge,caverna,backgammon,schnapsen
similo,doglover,barrage,coltexpress,vidrasso
forbiddenisland,superfantasybrawl,arnak,bagofchips,
tranquilitytheascent,patchwork,luxor,locomomo,
babydinosaurrescue,sevenwondersarchitects,skatelegend,spiteandmalice,
noneshallpass,carcassonnehuntersandgatherers,captainflip,briscola,
zefiria,tickettorideeurope,nidavellir,ohseven,
regicide,takenoko,turingmachine,trektwelve,
yokai,conspiracy,faraway,coinche,
heroesofhellas,sevenwondersduel,tapestry,blackjack,
tranquility,gangsta,thattimeyoukilledme,piratenkapern,
painttheroses,glow,carnegie,skat,
myfirstcastlepanic,catan,railwaysoftheworld,exitstrategy,
pandemic,tickettoride,texasholdem,palace,
hanabi,strands,tigriseuphrates,coloretto,
flowers,cacao,wizardsgrimoire,quoridor,
thewaytojuliet,sevenwonders,tashkalar,dotsandboxes,
thecrewdeepsea,alhambra,dogpark,machiavelli,
nowboarding,jekyllvshide,hadara,cardiceo,
burglebros,thurnandtaxis,maracaibo,hearts,
thecrew,mrjack,barenpark,gomoku,
,tokaido,hadrianswall,perfectwords,
,puertorico,rallymangt,thatslife,
,kahuna,warchest,concept,
,santorini,inverteddice,chinesecheckers,
,kingdomino,earth,illustori,
,canvas,newyorkzoo,chromino,
,capereurope,planetunknown,celestia,
,splendor,romirami,dobble,
,azul,hanamikoji,cantstopexpress,
,saintpetersburg,spiritsoftheforest,thirteenclues,
,carcassonne,terraformingmars,cubirds,
,hive,nextstationtokyo,escapefromthehiddencastle,
,lostcities,thewolves,mindup,
,targi,yokohama,koikoi,
,jaipur,foreverhome,lineit,
,thebuilders,knarr,loveletter,
,abyss,envelopesofcash,butterfly,
,kingsguild,volto,vault,
,sobektwoplayers,dicehospital,gangofdice,
,farmclub,paxrenaissance,rage,
,oriflamme,architectsofthewestkingdom,thirtyone,
,codexnaturalis,railroadinkchallenge,pingimus,
,novaluna,tzolkin,cucco,
,copenhagen,automobiles,sushigoparty,
